Flt, Pres.,Flag,   CO2
LK5,500,1,317.13
LK5,500,1,317.39
LK5,500,1,317.27
LK5,500,1,317.39
LK5,500,1,317.66
LK5,500,1,318.47
LK5,500,1,316.86
LK5,500,1,319
LK5,500,1,319.79
LK5,500,1,317.8
LK5,500,1,317.92
LK5,500,1,316.86
LK5,500,1,317
LK5,500,1,318.59
LK5,500,1,317.92
LK5,500,1,319
LK5,500,1,320.2
LK5,500,1,317.13
LK5,500,1,318.47
LK5,500,1,317.66
LK5,500,1,317
LK5,500,1,319.79
LK5,500,1,319.66
SK5,500,1,317.72
SK5,500,1,318.7
SK5,500,1,317.72
SK5,500,1,318
SK5,500,1,318.57
SK5,500,1,316.59
SK5,500,1,318
SK5,500,1,318.57
SK5,500,1,318.57
SK5,500,1,318.85
SK5,500,1,319.56
SK5,500,1,318.42
SK5,500,1,319.41
SK5,500,1,318
SK5,500,1,318.99
SK5,500,1,316.59
SK5,500,1,317.43
SK5,500,1,316.73
SK5,500,1,317.72
SK5,500,1,316.02
SK5,500,1,318
SK5,500,8,322.26
SK5,500,8,331.18
PT5,500,1,311.14
PT5,500,1,312.76
PT5,500,1,310.52
PT5,500,8,315.01
PT5,500,1,312.14
PT5,500,1,310.27
PT5,500,1,310.27
PT5,500,1,310.77
PT5,500,1,312.76
PT5,500,1,309.53
PT5,500,1,309.41
PT5,500,1,310.65
SK5,500,1,311.39
SK5,500,1,311.02
SK5,500,1,312.38
SK5,500,1,313.76
SK5,500,1,313.39
SK5,500,1,312.02
SK5,500,1,311.26
SK5,500,8,319.91
SK5,500,1,311.88
SK5,500,1,312.26
SK5,500,1,313.53
SK5,500,1,313.12
SK5,500,1,314.2
SK5,500,8,319.9
SK5,500,8,316.09
SK5,500,1,314.2
SK5,500,1,314.34
SK5,500,1,313.53
SK5,500,1,313.26
SK5,500,1,313.26
SK5,500,1,313.39
SS5,500,1,317.72
SS5,500,1,317.18
SS5,500,1,314.88
SS5,500,1,316.5
SS5,500,1,313.93
SS5,500,1,313.53
SS5,500,9,375.6
SS5,500,1,313.53
SS5,500,1,313.53
SS5,500,1,314.07
SS5,500,1,313.26
LK5,500,1,315.37
LK5,500,8,319.76
LK5,500,1,315.66
LK5,500,1,315.8
LK5,500,1,316.83
LK5,500,1,316.25
LK5,500,1,316.25
LK5,500,8,319.76
LK5,500,1,316.25
LK5,500,1,315.66
LK5,500,1,315.66
LK5,500,1,316.83
LK5,500,1,316.25
LK5,500,1,316.53
SK5,500,1,316.09
SK5,500,1,315.92
LK5,500,1,317.41
SK5,500,1,316.43
SK5,500,1,315.92
LK5,500,1,316.25
SK5,500,1,315.75
SK5,500,1,316.09
LK5,500,1,316.25
SK5,500,1,316.13
LK5,500,1,316.53
SK5,500,8,318.16
LK5,500,1,316.97
SK5,500,8,320.18
SK5,500,8,320.18
LK5,500,1,316.97
SK5,500,8,321.4
LK5,500,1,316.25
LK5,500,1,316.25
LK5,500,1,316.1
SK5,500,1,318.58
SK5,500,1,318.15
SK5,500,1,317.12
SK5,500,1,316.39
SK5,500,1,316.09
SK5,500,1,316.93
SK5,500,1,316.93
SK5,500,1,317.28
SK5,500,1,317.12
SK5,500,1,317.41
SK5,500,1,317.55
SK5,500,1,316.97
PT5,500,1,320.27
PT5,500,1,320.51
PT5,500,1,319.2
PT5,500,1,318.82
SK5,500,8,324.29
SK5,500,8,325.85
PT5,500,1,318.92
PT5,500,1,318.62
PT5,500,1,319.1
SK5,500,8,325.08
PT5,500,1,319.1
SK5,500,1,319.43
PT5,500,1,320.37
PT5,500,1,319.59
SK5,500,1,320.2
PT5,500,1,319.78
SK5,500,8,329.01
SK5,500,8,329.51
PT5,500,1,319.88
SK5,500,1,319.23
PT5,500,1,317.67
PT5,500,1,318.35
SK5,500,1,318.94
SK5,500,1,318.59
SK5,500,1,320.78
SK5,500,1,320.51
SK5,500,1,318.85
SK5,500,1,319.03
SK5,500,1,318.54
SK5,500,1,318.55
LK5,500,1,319.2
LK5,500,1,319.59
LK5,500,1,320.55
LK5,500,1,319.88
LK5,500,1,319.4
LK5,500,1,319.3
LK5,500,1,319.1
LK5,500,1,319.4
LK5,500,1,319.2
LK5,500,1,319.5
LK5,500,1,318.44
LK5,500,1,319.1
LK5,500,1,319.69
LK5,500,1,320.55
LK5,500,1,321.72
LK5,500,1,319.79
SK5,500,1,320.05
LK5,500,1,319.63
SK5,500,1,319.85
LK5,500,1,319.82
SK5,500,9,320.25
LK5,500,1,320.01
SK5,500,1,319.75
LK5,500,1,320.4
SK5,500,1,319.56
LK5,500,1,320.31
SK5,500,1,319.28
LK5,500,8,325.49
SK5,500,1,319.85
SK5,500,1,319.75
LK5,500,1,320.01
SK5,500,1,319.75
SK5,500,1,319.18
SK5,500,1,319.46
SK5,500,1,319.95
LH5,500,1,319.95
LH5,500,1,319.65
LK7,700,8,320.61
LK7,700,1,317.69
LK7,700,1,318.47
SK7,700,1,316.68
LK7,700,1,318.37
SK7,700,1,316.68
LK5,500,1,320.61
SK7,700,1,316.88
LK5,500,1,320.22
SK7,700,1,316.78
SK7,700,1,317.68
LK5,500,1,319.54
SK7,700,1,316.88
LH5,500,1,319.64
LH5,500,1,319.31
LK5,500,1,321.88
LH5,500,1,316.14
LH5,500,1,316.19
SK5,500,1,317.15
SK5,500,1,319.74
LK5,500,1,321.2
LH5,500,1,317.11
LK5,500,1,320.61
SK5,500,1,316.3
SK5,500,1,316.67
LH5,500,1,318.37
LH5,500,1,316.72
LK5,500,1,321.2
SK5,500,1,317.83
SK5,500,1,317.94
LH5,500,1,316.92
SK5,500,1,317.73
SK5,500,1,317.16
LH5,500,1,317.11
LK5,500,5,320.52
LH5,500,1,316.92
SK5,500,1,315.73
SK5,500,1,316.64
LH5,500,1,317.31
LH5,500,1,316.72
SK5,500,8,318.79
SK5,500,8,319.53
LH5,500,1,315.56
LH5,500,1,316.44
SK7,700,8,320.04
SK7,700,8,319.53
SK5,500,1,317.94
SK5,500,1,318.41
SK5,500,8,322.09
SK5,500,1,316.68
SK5,500,1,317.41
SK5,500,8,329.78
SK5,500,1,317.71
SK5,500,1,316.54
SK5,500,1,313.36
PT7,700,1,310.18
PT7,700,1,310.76
PT7,700,1,310.76
PT7,700,1,310.28
PT7,700,1,310.67
PT5,500,1,311.74
PT5,500,1,310.57
PT5,500,1,310.96
PT5,500,1,310.28
PT5,500,1,310.76
PT5,500,1,310.37
PT5,500,1,312.12
PT5,500,1,309.8
PT5,500,1,309.61
SK5,500,1,311.54
SK5,500,1,314.45
SK5,500,1,314.06
SK5,500,1,314.45
SK5,500,1,314.06
SK5,500,1,312.23
SK5,500,1,313.09
SK5,500,1,312.23
SK5,500,1,314.06
SK5,500,1,313.68
SK5,500,1,312.8
LK5,500,1,313.67
LK5,500,1,313.87
LK5,500,1,314.26
LK5,500,1,313.19
LK5,500,1,313.67
LK5,500,1,313.77
LK3,300,1,313.87
LK3,300,1,314.26
LK3,300,1,315.33
PT5,500,1,312.7
PT5,500,1,312.31
PT5,500,1,313.19
PT5,500,1,311.92
PT5,500,1,312.9
PT5,500,1,312.7
PT5,500,1,312.8
PT5,500,1,313.29
PT5,500,1,312.9
PT5,500,1,313.1
PT5,500,1,313.29
PT5,500,1,313.67
LH7,700,1,313.68
LH7,700,1,313.49
LH7,700,8,397.14
LH7,700,8,397.49
LH5,500,1,313.68
LH5,500,1,313.1
LH5,500,1,313.68
LH5,500,1,313.77
LH5,500,1,314.95
LH5,500,1,316.69
LH5,500,1,316.89
LH5,500,1,316.61
LH5,500,1,313.77
SK5,500,1,313.77
SK5,500,1,313.49
SK5,500,1,312.9
SK5,500,1,313.29
SK5,500,1,313.29
SK5,500,1,313.87
SK5,500,1,312.9
SK5,500,1,313.57
SK5,500,1,313.67
SK5,500,1,313.29
LK7,700,1,315.23
LK7,700,8,318.43
LK7,700,8,318.63
LK7,700,8,318.83
LK7,700,8,318.53
LK5,500,8,318.53
LK5,500,8,321.46
LK5,500,8,322.54
LK5,500,8,320.78
LK5,500,1,315.23
LK5,500,8,329.76
LK5,500,8,318.63
PT5,500,8,316.39
PT5,500,8,316.78
PT5,500,8,338.97
PT5,500,8,319.11
PT5,500,8,320.08
PT5,500,8,365.73
PT5,500,8,319.11
PT5,500,8,321.06
PT5,500,1,314.84
PT5,500,1,314.65
SK5,500,1,314.26
SK5,500,1,314.94
SK5,500,1,315.23
SK5,500,1,314.75
SK5,500,8,320.09
SK5,500,1,315.71
SK5,500,1,315.03
SK5,500,1,314.26
SK5,500,1,313.98
SK5,500,1,313.98
SK5,500,1,314.26
LH7,700,8,318.63
LH7,700,1,314.06
LH7,700,8,317.27
LH7,700,8,320.39
LH5,500,8,317.17
LH5,500,8,317.17
LH5,500,8,318.83
LH5,500,8,317.95
LH5,500,8,318.33
LH5,500,1,314.65
LH5,500,8,321.56
LH5,500,8,321.66
PT7,700,1,317.09
PT7,700,1,316.5
PT7,700,1,317.57
PT7,700,1,317.57
PT7,700,1,317.87
PT5,500,1,317.18
PT5,500,1,315.53
PT5,500,1,317.18
PT5,500,1,317.57
PT5,500,1,316.6
PT5,500,1,316.6
SK5,500,1,316.2
LH7,700,1,315.62
LH7,700,1,315.62
SK5,500,1,316
SK5,500,1,316.58
LH5,500,8,317.75
SK5,500,1,316.48
LH5,500,1,314.85
LH5,500,1,315.23
SK5,500,1,317.56
LH5,500,1,315.62
SK5,500,1,316.98
LH5,500,8,325.89
SK5,500,1,315.33
LH5,500,1,315.81
SK5,500,1,315.81
LH5,500,1,317.08
LH5,500,1,319.63
SK5,500,1,314.84
SK5,500,1,315.33
SK5,500,1,314.84
SK5,500,1,314.84
LK7,700,8,337.15
LK7,700,1,318.48
LK7,700,1,317.51
PT7,700,1,318.66
LK5,500,1,317.51
LK5,500,1,315.52
PT7,700,1,318.09
LK5,500,1,315.7
PT7,700,1,319.05
LK5,500,1,316.08
PT5,500,1,317.13
LK5,500,1,315.7
PT5,500,1,319.23
PT5,500,1,319.05
LK5,500,1,316.18
PT5,500,1,317.61
LK5,500,1,317.51
PT5,500,1,318
LK5,500,1,316.38
PT5,500,1,318.09
LK5,500,1,316.56
PT5,500,1,319.43
PT5,500,1,316.18
PT5,500,8,335.67
LH7,700,1,318.45
SK5,500,1,316.94
LH7,700,1,317.69
SK5,500,1,316.74
LH7,700,1,315.88
SK5,500,1,316.74
LH5,500,1,317.12
SK5,500,1,316.94
SK5,500,1,317.9
LH5,500,1,316.55
SK5,500,1,316.38
LH5,500,1,316.64
SK5,500,1,316.75
LH5,500,1,317.49
SK5,500,8,343.13
LH5,500,1,317.11
SK5,500,1,316.27
SK5,500,1,316.56
LH5,500,1,318.45
SK5,500,1,316.17
LH5,500,1,318.55
SK5,500,1,316.27
LH5,500,1,319.4
LH5,500,1,318.64
PT5,500,1,318.46
PT5,500,1,318.08
PT5,500,1,316.94
PT5,500,1,316.84
PT5,500,1,318.84
PT5,500,1,318.27
PT7,700,1,318.46
PT7,700,1,319.31
PT7,700,1,319.98
PT7,700,1,318.08
PT5,500,1,318.94
PT5,500,1,319.03
SK5,500,8,346.11
SK5,500,1,317.88
LK7,700,1,318.44
SK5,500,1,317.88
LK5,500,1,318.26
SK5,500,1,317.88
LK5,500,1,319.03
LK5,500,1,317.12
SK5,500,1,317.69
SK5,500,1,317.41
LK5,500,1,317.31
LK5,500,1,317.69
SK5,500,1,317.49
LK5,500,1,317.41
LK5,500,1,318.07
SK5,500,1,318.26
LK5,500,1,318.73
SK5,500,1,318.08
LK5,500,1,318.54
SK5,500,1,318.56
LK5,500,1,319.03
SK5,500,1,317.12
LK5,500,1,318.07
